program_id,channel_id,start,end,fitness
ch1132_live_pinarayi_vijayan_reporter_9553,1132,9553,9578,103
ch1563_mumbai_breaking_news_live_mumb_9580,1563,9580,9730,116
ch1157_kairali_news_live_9734,1157,9734,9824,73
ch1316_live_pinarayi_vijayan_reporter_9825,1316,9825,9885,120
ch83_breaking_news_bd_is_live_9885,83,9885,10035,125
ch80_team_news_live_norwich_city_v__10069,80,10069,10144,73
ch440_live_8_00_am_dd_news_rajasthan_10144,440,10144,10204,106
ch1371_disney_parks_live_breaking_new_10204,1371,10204,10294,47
ch563_live_house_oversight_committee_10294,563,10294,10414,101
ch825_waay_31_live_breaking_news_10414,825,10414,10489,108
ch1187_poduty_and_the_news_live_podca_10497,1187,10497,10597,61
ch527_breaking_news_bd_is_live_10597,527,10597,10632,107
ch1305_rocket_morning_news_live_jan_8_10632,1305,10632,10707,111
ch1039_disney_parks_live_breaking_new_10711,1039,10711,10771,54
ch194_poduty_and_the_news_live_podca_10771,194,10771,10861,47
ch293_live_untv_news_break_january_5_10861,293,10861,10951,109
ch1473_02_january_2026_aaj_ki_50_sabs_10951,1473,10951,11101,68
ch1165_bullhorn_betty_breaking_news_t_11101,1165,11101,11251,114
ch1492_live_untv_news_break_january_5_11252,1492,11252,11372,131
ch1138_live_tv9_bangla_sir_mamata_ban_11376,1138,11376,11526,69
ch55_fox_news_live_president_donald_11528,55,11528,11573,103
ch958_rocket_morning_news_live_jan_8_11574,958,11574,11619,105
ch1350_kairali_news_live_11621,1350,11621,11681,48
ch845_watch_live_assamese_news_4_00__11681,845,11681,11756,105
ch1579_dd_sahyadri_news_live_04_01_20_11756,1579,11756,11816,100
ch776_trump_live_latest_news_on_vene_11821,776,11821,11861,46
ch183_kairali_news_live_11863,183,11863,11963,60
ch1116_rocket_morning_news_live_jan_9_11964,1116,11964,12039,121
ch1063_king_p_media_is_live_12039,1063,12039,12099,77
ch350_geo_news_live_pakistan_news_li_12099,350,12099,12119,106
ch6_live_untv_news_break_january_5_12122,6,12122,12302,113
ch1458_disney_parks_live_breaking_new_12306,1458,12306,12486,55
ch144_rocket_morning_news_live_jan_8_12487,144,12487,12527,110
ch906_disney_parks_live_breaking_new_12527,906,12527,12827,45
ch1662_live_pinarayi_vijayan_reporter_12827,1662,12827,12872,136
ch807_live_kannada_news_11_am_05_01__12872,807,12872,12947,134
ch1520_live_breaking_news_hindi_news__12947,1520,12947,12992,72
ch867_disney_parks_live_breaking_new_12992,867,12992,13017,50
ch342_bullhorn_betty_breaking_news_t_13017,342,13017,13052,109
ch217_pm_live_news_pm_kisan_smman_ni_13053,217,13053,13083,106
ch974_news_live_13083,974,13083,13183,56
ch362_05_jan_current_affairs_2026_cu_13183,362,13183,13243,58
ch1314_live_untv_news_break_january_5_13244,1314,13244,13289,110
ch314_today_news_live_pm_narendra_mo_13289,314,13289,13364,120
ch786_news_live_13364,786,13364,13399,52
ch1550_kairali_news_live_13399,1550,13399,13439,52
ch477_live_pinarayi_vijayan_reporter_13439,477,13439,13619,120
ch874_disney_parks_live_breaking_new_13619,874,13619,13659,46
ch1248_today_breaking_news_13661,1248,13661,13901,112
ch1281_watch_live_assamese_news_4_00__13902,1281,13902,14052,114
ch776_trump_live_latest_news_on_vene_14052,776,14052,14082,68
ch1226_bullhorn_betty_breaking_news_t_14082,1226,14082,14127,136
ch1279_beed_choufer_news_live_is_live_14127,1279,14127,14307,136
ch1279_disney_parks_live_breaking_new_14308,1279,14308,14428,89
ch1434_breaking_news_live_coronavirus_14429,1434,14429,14454,106
ch919_kairali_news_live_14454,919,14454,14499,50
ch911_kairali_news_live_14499,911,14499,14709,53
ch1440_today_breaking_news_top_100_ne_14712,1440,14712,14772,66
ch1410_news_live_14773,1410,14773,14833,61
ch164_rocket_morning_news_live_jan_8_14833,164,14833,14933,109
ch1260_kairali_news_live_14934,1260,14934,15024,58
ch869_waay_31_live_breaking_news_15024,869,15024,15054,111
ch541_ia_live_uk_house_of_commons_di_15054,541,15054,15129,112
ch1319_kairali_news_live_15129,1319,15129,15174,53
ch96_kairali_news_live_15174,96,15174,15214,58
ch148_breaking_news_corona_latest_ne_15215,148,15215,15335,104
ch1634_live_cruise_news_1_4_2026_15338,1634,15338,15438,113
ch1196_disney_parks_live_breaking_new_15440,1196,15440,15485,53
ch1647_news_live_15485,1647,15485,15505,69
ch806_we_gone_run_it_trump_venezuela_15505,806,15505,15525,63
ch748_05_jan_current_affairs_2026_cu_15526,748,15526,15586,84
ch1645_sadim_vines_live_15587,1645,15587,15707,122
ch1644_breaking_news_corona_latest_ne_15707,1644,15707,15727,114
ch468_film_and_box_office_news_live__15730,468,15730,15775,63
ch1260_kairali_news_live_15776,1260,15776,16076,62
ch1011_abc_news_live_is_a_24_7_stream_16077,1011,16077,16137,106
ch1000_see_news_urdu_live_latest_paki_16137,1000,16137,16237,146
ch299_dbc_news_live_16245,299,16245,16395,56
ch1659_kairali_news_live_16397,1659,16397,16472,68
ch1575_fox_news_live_hd_the_late_news_16472,1575,16472,16507,100
ch1676_live_trump_returns_to_washingt_16507,1676,16507,16607,106
ch1673_film_and_box_office_news_live__16608,1673,16608,16668,57
ch936_5_january_2026_daily_current_a_16669,936,16669,16714,75
ch1657_grand_theft_venezuela_trump_sn_16714,1657,16714,16834,116
ch937_rocket_morning_news_live_jan_9_16835,937,16835,16860,109
ch1599_janabheri_cm_revanth_reddy_spe_16860,1599,16860,16900,51
ch1394_news_live_16900,1394,16900,16975,60
ch177_4_5_january_current_affairs_20_16975,177,16975,17050,84
ch1630_kairali_news_live_17051,1630,17051,17111,80
ch1279_disney_parks_live_breaking_new_17131,1279,17131,17341,69
ch1178_breaking_news_5_for_bihar_libr_17341,1178,17341,17431,53
ch382_ia_live_uk_house_of_commons_di_17432,382,17432,17532,111
ch274_live_house_oversight_committee_17532,274,17532,17567,105
ch478_news_live_17573,478,17573,17753,49
ch1468_bullhorn_betty_breaking_news_t_17754,1468,17754,17844,114
ch819_v_update_news_live_is_live_17844,819,17844,17874,105
