program_id,channel_id,start,end,fitness
ch939_fashion_and_personal_style_101_0002,939,2,102,60
ch201_live_current_affairs_class_hel_0102,201,102,177,67
ch433_livestream_evening_worship_6_0_0177,433,177,252,33
ch884_face_pack_for_glowing_whitenin_0252,884,252,352,39
ch872_live_critics_choice_awards_202_0352,872,352,592,68
ch771_kismat_connection_live_shailen_0593,771,593,613,67
ch564_live_live_kavi_sammelan_renwal_0613,564,613,673,37
ch1343_up_ki_ladki_is_live_magh_mela__0673,1343,673,698,39
ch819_live_prabhat_bhajans_117_shudd_0698,819,698,738,43
ch341_sehgal_tv_is_live_41_0739,341,739,814,40
ch1224_schedule_live_stream_schedule__0815,1224,815,965,50
ch221_must_have_kitchen_products_liv_0965,221,965,1055,45
ch1105_fashion_and_personal_style_101_1056,1105,1056,1156,44
ch821_live_streaming_of_darji_gurudw_1156,821,1156,1231,78
ch3_live_livestream_youtubelive_aa_1231,3,1231,1256,74
ch1270_felicity_christian_church_live_1256,1270,1256,1286,36
ch606_radhe_radhe_live_livestream_vi_1286,606,1286,1326,58
ch1294_live_1326,1294,1326,1386,83
ch1086_rubi_pahadi_is_live_1386,1086,1386,1431,74
ch1042_live_current_affairs_class_hel_1431,1042,1431,1581,71
ch1333_live_morning_becomes_eclectic__1582,1333,1582,1682,39
ch585_ask_adam_live_inanimate_insani_1682,585,1682,1722,26
ch730_schedule_live_stream_schedule__1722,730,1722,1782,36
ch1377_churchtrac_livestream_1_7_2026_1784,1377,1784,1884,37
ch535_master_cadre_lecture_cadre_pol_1884,535,1884,2034,49
ch673_live_final_training_session_be_2035,673,2035,2110,66
ch246_tv_live_2026_296_2111,246,2111,2171,51
ch52_2026_ces_ultimea_exclusive_new_2171,52,2171,2216,66
ch765_avatar_yt_is_live_facecam_live_2219,765,2219,2429,54
ch1117_live_live_darshan_shree_kashi__2429,1117,2429,2469,35
ch828_live_livestream_youtubelive_aa_2471,828,2471,2591,68
ch802_live_day_5_trending_2591,802,2591,2651,78
ch368_good_morning_sabhi_ko_radhe_kr_2651,368,2651,2676,81
ch824_live_critics_choice_awards_202_2676,824,2676,2701,75
ch855_please_support_mee_everyone_sh_2701,855,2701,2731,56
ch1352_live_final_training_session_be_2731,1352,2731,2751,72
ch318_is_live_livestream_viral_2751,318,2751,2791,71
