program_id,channel_id,start,end,fitness
ch942_live_from_magic_kingdom_disney_0002,942,2,102,90
ch201_live_current_affairs_class_hel_0102,201,102,177,67
ch433_livestream_evening_worship_6_0_0177,433,177,252,33
ch698_special_live_stream_performanc_0252,698,252,327,41
ch1071_friends_jaldi_se_join_karo_liv_0328,1071,328,403,42
ch1288_q_and_a_livestream_january_19__0403,1288,403,423,70
ch341_advik_ff_yt_is_live_now_diamon_0423,341,423,513,47
ch652_sarita_khobey_is_live_radhe_ra_0513,652,513,573,45
ch613_master_cadre_lecture_cadre_pol_0573,613,573,648,53
ch1055_2026_ces_ultimea_exclusive_new_0648,1055,648,748,77
ch257_live_chatting_with_friends_liv_0748,257,748,793,64
ch1065_12_00_pm_sunday_service_livest_0793,1065,793,813,29
ch44_live_swing_trading_using_cpr_a_0813,44,813,903,46
ch787_haryanvi_culture_and_desi_vlog_0905,787,905,1025,49
ch827_sunday_live_crochet_talk_hello_1025,827,1025,1060,43
ch580_vijay_sir_birthday_special_liv_1064,580,1064,1164,42
ch935_live_day_5_trending_1164,935,1164,1254,91
ch1161_q_and_a_livestream_january_19__1254,1161,1254,1279,74
ch328_spartacus_house_of_ashur_theor_1279,328,1279,1314,85
ch1073_live_livestream_1314,1073,1314,1554,80
ch156_2025_israel_jobs_live_apply_10_1556,156,1556,1581,54
ch1333_live_morning_becomes_eclectic__1582,1333,1582,1682,39
ch585_ask_adam_live_inanimate_insani_1682,585,1682,1722,26
ch730_schedule_live_stream_schedule__1722,730,1722,1782,36
ch470_ritik_sahu_fitness_is_living_p_1784,470,1784,1844,46
ch483_gelt_resisting_torment_livestr_1845,483,1845,1890,67
ch1120_live_livestream_youtubelive_aa_1892,1120,1892,1932,68
ch1304_kumar_arjun_kirtan_is_live_bih_1932,1304,1932,1962,37
ch427_live_channel_promotion_100_sub_1962,427,1962,2007,54
ch534_friends_jaldi_se_join_karo_liv_2008,534,2008,2098,53
ch1294_live_critics_choice_awards_202_2098,1294,2098,2188,72
ch234_2025_israel_jobs_live_apply_10_2190,234,2190,2370,55
ch353_against_the_machine_book_study_2370,353,2370,2445,71
ch745_4_january_2026_today_s_service_2446,745,2446,2466,23
ch1365_live_stream_wip_wednesday_2467,1365,2467,2507,69
ch13_topsteptv_london_open_with_aar_2507,13,2507,2537,62
ch502_live_livestream_2537,502,2537,2582,92
ch812_1000_players_colonize_a_brutal_2582,812,2582,2702,55
ch1161_q_and_a_livestream_january_19__2702,1161,2702,2722,85
ch1219_shortfeed_trendinglive_livestr_2722,1219,2722,2782,74
ch1075_live_stream_high_school_wrestl_2782,1075,2782,2807,74
ch891_2025_israel_jobs_live_apply_10_2908,891,2908,3028,58
ch1138_q_and_a_livestream_january_12__3028,1138,3028,3118,65
ch504_dare_to_innovate_ces_2026_laun_3118,504,3118,3238,65
ch866_spartacus_house_of_ashur_theor_3238,866,3238,3283,74
ch1052_kismat_connection_live_shailen_3285,1052,3285,3360,68
ch361_live_ll_3360,361,3360,3385,37
ch552_live_final_training_session_be_3385,552,3385,3685,70
ch322_monday_wind_down_live_networki_3685,322,3685,3925,70
ch4_1_11_soul_activation_livestrea_3925,4,3925,4015,72
ch652_critics_choice_livestream_2026_4016,652,4016,4106,93
ch1146_4_day_14_electrician_live_clas_4106,1146,4106,4181,67
ch1413_monday_wind_down_live_networki_4182,1413,4182,4257,88
ch967_livestream_live_livestreaming__4260,967,4260,4280,53
ch678_1_11_soul_activation_livestrea_4280,678,4280,4400,86
ch824_live_critics_choice_awards_202_4400,824,4400,4490,61
