generation,best_score,avg_score
1,900,603.5
2,900,594.7
3,900,559.94
4,900,598.86
5,900,573.36
6,900,564.86
7,900,542.0
8,900,582.0
9,900,615.0
10,900,564.76
11,900,579.24
12,900,654.62
13,900,621.88
14,900,612.52
15,900,695.44
16,900,647.06
17,900,676.78
18,900,669.98
19,900,576.86
20,900,603.22
21,900,621.0
22,900,629.16
23,900,627.36
24,900,631.36
25,900,582.98
26,917,655.48
27,917,617.16
28,917,592.64
29,917,594.58
30,917,611.68
31,917,661.46
32,917,642.5
33,917,647.94
34,917,609.86
35,917,611.7
36,917,671.34
37,917,654.76
38,917,618.06
39,917,644.34
40,917,599.44
41,917,612.38
42,917,615.2
43,917,629.34
44,917,616.74
45,917,577.42
46,917,608.44
47,917,619.38
48,917,607.38
49,917,620.9
50,917,618.12
51,917,652.86
52,917,553.38
53,917,540.2
54,917,662.14
55,917,648.78
56,917,616.86
57,917,641.72
58,917,643.68
59,917,654.56
60,917,645.06
61,917,613.88
62,917,637.92
63,917,652.82
64,917,656.68
65,917,610.4
66,917,674.52
67,917,641.22
68,917,612.84
69,917,648.42
70,917,704.64
71,917,708.0
72,917,677.58
73,917,632.86
74,917,640.88
75,917,571.5
76,917,652.64
77,917,600.52
78,917,604.72
79,917,688.54
80,917,633.18
81,917,635.18
82,917,599.66
83,917,643.3
84,917,637.06
85,917,613.18
86,917,676.54
87,917,606.4
88,917,665.3
89,917,671.5
90,917,620.58
91,917,637.26
92,917,674.78
93,917,693.98
94,917,698.8
95,917,614.16
96,917,614.28
97,917,657.44
98,917,610.48
99,917,647.22
100,917,643.48
101,917,646.2
102,917,634.84
103,917,649.26
104,917,634.58
105,917,670.9
106,917,697.38
107,917,668.14
108,917,667.1
109,917,636.84
110,917,711.52
111,917,643.64
112,917,605.3
113,917,653.58
114,917,682.88
115,917,621.52
116,917,591.12
117,917,624.4
118,917,658.64
119,917,613.44
120,917,666.88
121,917,630.58
122,917,693.52
123,917,583.88
124,917,622.3
125,917,682.24
126,917,623.82
127,917,660.6
128,917,586.42
129,917,665.82
130,917,614.18
131,917,609.18
132,917,653.34
133,917,704.72
134,917,659.76
135,917,679.96
136,917,735.7
137,917,664.12
138,917,578.38
139,917,637.8
140,917,640.78
141,917,708.16
142,917,680.84
143,917,728.46
144,917,691.26
145,917,659.3
146,917,640.82
147,917,631.22
148,917,645.8
149,917,635.16
150,917,617.4
151,917,616.3
152,917,608.4
153,917,596.52
154,917,634.22
155,917,668.38
156,917,659.08
157,917,644.32
158,917,626.66
159,917,651.2
160,917,613.92
161,917,649.64
162,917,654.08
163,917,633.88
164,917,653.1
165,917,608.94
166,917,607.3
167,917,643.76
168,917,592.82
169,917,611.2
170,917,612.24
171,917,637.16
172,917,662.08
173,917,623.24
174,917,634.46
175,917,611.02
176,917,623.0
177,917,669.32
178,917,568.62
179,917,591.68
180,917,584.9
181,917,610.24
182,917,581.12
183,917,561.28
184,917,599.86
185,917,618.08
186,917,680.74
187,917,679.82
188,917,636.14
189,917,630.1
190,917,643.42
191,917,627.7
192,917,628.9
193,917,593.74
194,917,617.3
195,917,634.4
196,917,626.24
197,917,620.58
198,917,617.12
199,917,661.46
200,917,656.3
